t,S_obs,E_obs,I_obs,R_obs,S_true,E_true,I_true,R_true
0.0,1.2227916152004459,-0.024075626422358228,0.0902536149942945,-0.3036474901799152,0.99,0.01,0.0,0.0
0.001,1.0652396526630965,0.029662935650661672,-0.028470762991943722,-0.033242992513288876,0.9899999465827112,0.009982069575523432,1.797844607951344e-05,5.395685864230173e-09
0.002,1.1722525187888362,0.01604991542374216,-0.018935975121073912,-0.11138187315027313,0.9899997865010962,0.009964277965126701,3.591396822898738e-05,2.1565548131986657e-08
0.003,0.8744962094823745,-0.0580390382555578,-0.026635076992576903,0.12830212996159535,0.9899995200093442,0.009946624665218257,5.380684152116694e-05,4.848391635775989e-08
0.004,0.8139568605245271,-0.03128797172134414,0.11371047010027198,-0.06426458408292797,0.9899991473600607,0.009929109174685197,7.165733997059007e-05,8.612528348522896e-08
0.005,0.8094833181443648,-0.057292724017432614,0.17954247976071266,0.13077873387364075,0.9899986688042672,0.009911730994893276,8.946573653358768e-05,1.3446430584726165e-07
0.006,0.9460515709230838,0.02364874278750997,0.027032056686381725,0.07993998884826219,0.9899980845914016,0.009894489629686894,0.00010723230310828347,1.9347580316591433e-07
0.007,1.0441096784968449,-0.001565882244621673,-0.02638001505518555,-0.09057612975625624,0.9899973949694396,0.00987738458517906,0.00012495731063528462,2.631347460159331e-07
0.008,0.9279164832247793,0.05841830233962462,0.03699864663680486,0.20540058243102555,0.9899966001858634,0.009860415368083408,0.00014264102989681638,3.434161563042681e-07
0.009000000000000001,0.7887977450950023,-0.029029408378444144,0.044030989031483496,-0.2550717785374163,0.989995700485248,0.009843581489873793,0.00016028372952274259,4.3429535551542887e-07
0.01,0.9593257077932028,0.002127359877313369,-0.0304272166640729,0.40316994969195175,0.9899946961102541,0.009826882465069856,0.0001778856768137024,5.357478622798266e-07
0.011,1.0784667308840727,0.022247774194423135,0.034166932787399074,0.23052859398268816,0.9899935873020705,0.009810317810476915,0.00019544713810562032,6.477493469964117e-07
0.012,1.1643275553700618,-0.05255072865671372,-0.1107690360455739,-0.09396683993794622,0.9899923743004125,0.009793887045185962,0.00021296837876970626,7.702756318326739e-07
0.013000000000000001,1.0934830000474545,0.06464480270668638,0.08691596409107895,0.23756606849337583,0.9899910573435232,0.009777589690573662,0.00023044966321245525,9.033026907246414e-07
0.014,0.7794791615232349,-0.007047379975678754,0.10324750378927333,0.47153426284261285,0.9899896366681726,0.009761425270302356,0.00024789125487564774,1.0468066493768815e-06
0.015,1.0558446353668358,-0.031025812251586186,-0.01992899938835055,-0.11360991960316145,0.9899881125096583,0.009745393310320056,0.0002652934162363495,1.200763785262501e-06
0.016,1.029450980561356,0.00029529489106171723,-0.1156566773986449,-0.017619812448715737,0.989986485101805,0.009729493338860454,0.0002826564088069116,1.365150527623146e-06
0.017,1.0946690609824676,0.0014834298492761005,0.09495610021491065,0.12788405884412044,0.9899847546769647,0.00971372488644291,0.00029998049313497056,1.5399434574690003e-06
0.018000000000000002,0.9369925671485876,-0.003418412460956288,-0.07914058209176013,-0.33709385422629173,0.9899829214660165,0.009698087485872465,0.00031726592880344784,1.7251193075787878e-06
0.019,1.102373707059889,0.07759586275401693,-0.042101263673968915,0.15812063068592455,0.9899809856983671,0.009682580672239828,0.0003345129744305506,1.9206549624997714e-06
0.02,0.9801571716688352,0.040117205121300244,0.06068831486246315,-0.10041701835897704,0.9899789476019504,0.009667203982921384,0.0003517218876697712,2.126527458547753e-06
0.021,0.9683276025283694,0.03845232269240454,-0.07408209622308246,-0.07397115199342168,0.9899768074032271,0.009651956957579194,0.0003688929252098872,2.342713983807074e-06
0.022,1.00774254487423,0.06362066478209785,0.031490754806852074,-0.1261727182443924,0.989974565327186,0.009636839138160996,0.0003860263427749616,2.5691918781306128e-06
0.023,1.100702399274606,-0.05407482930174655,0.1416508773622241,-0.07822729407612551,0.9899722215973423,0.009621850068900192,0.00040312239512434276,2.80593863313979e-06
0.024,0.67039606225586,-0.0775769524452345,-0.0039163970678261105,-0.055546100413281285,0.9899697764357392,0.009606989296315871,0.00042018133605266415,3.052931892224562e-06
0.025,0.9918331771947145,-0.022851429924072,0.01073909722791407,0.062154156834470245,0.9899672300629468,0.009592256369212787,0.00043720341838984463,3.310149450543428e-06
0.026000000000000002,1.1587293005409165,-0.010045181679649606,-0.10355773366177155,-0.18572737559575608,0.9899645826980625,0.009577650838681373,0.0004541888940010886,3.577569255023422e-06
0.027,1.0927460424389892,-0.07314998845201251,0.02328236523215665,-0.1962484842031429,0.989961834558711,0.009563172258097732,0.00047113801378688544,3.855169404360119e-06
0.028,1.1279893129432463,0.00808325369498845,-0.04905768397527156,-0.10293843658090533,0.9899589858610444,0.009548820183123648,0.0004880510276830101,4.1429281490176345e-06
0.029,0.6642090257007726,0.003593912581629978,-0.0746107107515918,-0.03682320902981031,0.9899560368197416,0.009534594171706575,0.0005049281846605226,4.44082389122862e-06
0.03,1.1909301077395178,-0.04431818964407885,-0.08983383065149331,-0.10474656586760228,0.9899529876480097,0.00952049378407964,0.0005217697327257686,4.748835184994272e-06
0.031,0.8721904809445574,-0.022247815003209596,0.13044129490674333,-0.1437437397750901,0.9899498385575819,0.009506518582761645,0.0005385759189203787,5.066940736084317e-06
0.032,1.2796218429248887,0.03951782188080296,0.0325478953350477,0.07938829197627416,0.9899465897587196,0.009492668132557069,0.0005553469893212692,5.395119402037028e-06
0.033,1.2315822507732888,0.009690573286184811,-0.008788395303650106,-0.0469773665071348,0.9899432414603861,0.00947894200024716,0.0005720831891929757,5.7333501737555775e-06
0.034,1.2352125778664609,-0.01333215517549661,0.03324816022836345,0.0835466761111473,0.9899397938706636,0.009465339753844655,0.0005887847633610071,6.081612130827769e-06
0.035,0.9886840110910233,0.05722655062348808,-0.04214234608832944,0.02926384072006452,0.9899362471951937,0.009451860965342961,0.0006054519548582174,6.4398846051595335e-06
0.036000000000000004,1.1452433821196795,-0.0695342318312288,0.010041020195826015,-0.08377366190994535,0.9899326016381245,0.009438505209059981,0.0006220850057330159,6.808147082668512e-06
0.037,0.6290056674576766,0.03952655009028339,-0.1341153984362782,0.023150227728955163,0.9899288574022649,0.009425272061364424,0.0006386841571837612,7.186379187004358e-06
0.038,1.1672164060082586,0.02730049140403473,0.023364228667063197,0.11933355648665346,0.989925014689086,0.009412161100675817,0.0006552496495587614,7.5745606795487465e-06
