t,S_obs,E_obs,I_obs,R_obs,S_true,E_true,I_true,R_true
0.0,0.8596235951422753,0.05319685262023702,-0.028289555427342333,0.12229761237966424,0.99,0.01,0.0,0.0
0.001,1.0532698276981178,-0.00471618115264121,0.08395511497698625,0.1646615566693367,0.9899999465827112,0.009982069575523432,1.797844607951344e-05,5.395685864230173e-09
0.002,1.0418708708383089,-0.03882924287226501,-0.05006938762459084,-0.00381030826394418,0.9899997865010962,0.009964277965126701,3.591396822898738e-05,2.1565548131986657e-08
0.003,0.9298998703304127,0.028149929404690154,-0.026189004592168635,-0.046574463520218184,0.9899995200093442,0.009946624665218257,5.380684152116694e-05,4.848391635775989e-08
0.004,1.058095461040435,-0.020625325841130665,-0.04766466712287643,0.030010402203194984,0.9899991473600607,0.009929109174685197,7.165733997059007e-05,8.612528348522896e-08
0.005,1.008475039043586,0.009521626340946021,-0.01797242733475828,0.16844337163425796,0.9899986688042672,0.009911730994893276,8.946573653358768e-05,1.3446430584726165e-07
0.006,1.0243344357198776,0.04564580852157227,0.08052561912184412,-0.11422289424446777,0.9899980845914016,0.009894489629686894,0.00010723230310828347,1.9347580316591433e-07
0.007,1.0681034862123309,-0.017295337334766153,-0.02833660473348144,0.09945395065444403,0.9899973949694396,0.00987738458517906,0.00012495731063528462,2.631347460159331e-07
0.008,1.1166784431119092,0.015100893624388677,0.062039777218458325,0.03636150255433668,0.9899966001858634,0.009860415368083408,0.00014264102989681638,3.434161563042681e-07
0.009000000000000001,1.0016530047027141,0.05671114333437761,0.1317842997609999,-0.035230430530053335,0.989995700485248,0.009843581489873793,0.00016028372952274259,4.3429535551542887e-07
0.01,1.1423407716219018,-0.0037633570634963993,-0.06961451116453951,0.13182187758799618,0.9899946961102541,0.009826882465069856,0.0001778856768137024,5.357478622798266e-07
0.011,0.8698566157003303,0.03605179563217414,-0.0783093909528173,-0.28847422907478804,0.9899935873020705,0.009810317810476915,0.00019544713810562032,6.477493469964117e-07
0.012,1.1679310295888428,-0.01456412241527819,0.03316973243670549,-0.18103548273869988,0.9899923743004125,0.009793887045185962,0.00021296837876970626,7.702756318326739e-07
0.013000000000000001,0.9772006369489931,-0.004768308167026263,0.031122853033913246,-0.18751222486392066,0.9899910573435232,0.009777589690573662,0.00023044966321245525,9.033026907246414e-07
0.014,0.8293743046573651,-0.058120606462876964,-0.009056272305813937,0.21365012093613478,0.9899896366681726,0.009761425270302356,0.00024789125487564774,1.0468066493768815e-06
0.015,1.0056021318730368,0.057964577856685406,-0.0895304938231771,-0.1444719297248206,0.9899881125096583,0.009745393310320056,0.0002652934162363495,1.200763785262501e-06
0.016,0.9516613770020899,0.0479769577135804,-0.05534101070814658,0.10449931207842654,0.989986485101805,0.009729493338860454,0.0002826564088069116,1.365150527623146e-06
0.017,1.0957360179352842,0.015485354032879449,0.05770661604753124,-0.28413272237215736,0.9899847546769647,0.00971372488644291,0.00029998049313497056,1.5399434574690003e-06
0.018000000000000002,1.0529770057602144,0.01331490145395476,0.10264916923195222,0.034228207095499244,0.9899829214660165,0.009698087485872465,0.00031726592880344784,1.7251193075787878e-06
0.019,0.963979444894917,-0.04105663160222525,0.021089988607884285,-0.10545034945618316,0.9899809856983671,0.009682580672239828,0.0003345129744305506,1.9206549624997714e-06
0.02,1.0805372117615473,-0.006698996875629417,0.07096173381513829,0.2162897506331054,0.9899789476019504,0.009667203982921384,0.0003517218876697712,2.126527458547753e-06
0.021,1.058723588871075,0.031209112976683717,0.08266040810230345,-0.09821821027103646,0.9899768074032271,0.009651956957579194,0.0003688929252098872,2.342713983807074e-06
0.022,0.9041213372453542,0.030575707763956086,0.00949457392351247,-0.13508692589392982,0.989974565327186,0.009636839138160996,0.0003860263427749616,2.5691918781306128e-06
0.023,0.8594149884536307,-0.021594853750545658,0.07865079386177765,0.026622184654367966,0.9899722215973423,0.009621850068900192,0.00040312239512434276,2.80593863313979e-06
0.024,0.8999281398601843,-0.01584528307708081,-0.025402866299904785,0.056038022305284714,0.9899697764357392,0.009606989296315871,0.00042018133605266415,3.052931892224562e-06
0.025,1.0422443572692435,0.05800076303499299,-0.028218615354557934,-0.11318579374428145,0.9899672300629468,0.009592256369212787,0.00043720341838984463,3.310149450543428e-06
0.026000000000000002,1.0908974919374308,0.00886059796072714,0.014430353169978915,-0.03280387918179578,0.9899645826980625,0.009577650838681373,0.0004541888940010886,3.577569255023422e-06
0.027,1.032380302716411,0.012006751780411336,0.12894659196735705,-0.11079062979339108,0.989961834558711,0.009563172258097732,0.00047113801378688544,3.855169404360119e-06
0.028,0.7210042205570499,-0.028581829299540923,-0.07391026740635961,-0.18594409081730956,0.9899589858610444,0.009548820183123648,0.0004880510276830101,4.1429281490176345e-06
0.029,0.9998141561950205,0.04697794203528097,-5.739056030551828e-05,-0.04138665611285458,0.9899560368197416,0.009534594171706575,0.0005049281846605226,4.44082389122862e-06
0.03,0.7005180957242609,-0.0006071608578167055,-0.0005427534689797849,0.06146006509543108,0.9899529876480097,0.00952049378407964,0.0005217697327257686,4.748835184994272e-06
0.031,0.9981444355177996,0.027371158543736604,0.0019201122482958206,0.22507378160806785,0.9899498385575819,0.009506518582761645,0.0005385759189203787,5.066940736084317e-06
0.032,1.024732617821811,0.10136752309791319,0.0025218065989943642,0.10100267713055049,0.9899465897587196,0.009492668132557069,0.0005553469893212692,5.395119402037028e-06
0.033,1.0658311469017943,-0.04929543906289591,-0.034468451170685414,-0.06278004504492322,0.9899432414603861,0.00947894200024716,0.0005720831891929757,5.7333501737555775e-06
0.034,1.1227448618451186,0.057817998685654876,0.05638686866232866,0.1193329576625037,0.9899397938706636,0.009465339753844655,0.0005887847633610071,6.081612130827769e-06
0.035,1.094419026657814,-0.028904822527684063,-0.02666055966494725,-0.006920096384140076,0.9899362471951937,0.009451860965342961,0.0006054519548582174,6.4398846051595335e-06
0.036000000000000004,0.8273952968068279,0.014163402664243301,-0.08230599638438789,-0.03586043471651739,0.9899326016381245,0.009438505209059981,0.0006220850057330159,6.808147082668512e-06
0.037,1.2015992038314889,0.002553728203361634,-0.027001505649563592,-0.09252986585805492,0.9899288574022649,0.009425272061364424,0.0006386841571837612,7.186379187004358e-06
0.038,0.9547898880324323,-0.014829875340739113,0.02065112016402677,0.13963063079904367,0.989925014689086,0.009412161100675817,0.0006552496495587614,7.5745606795487465e-06
0.039,1.1821428469134374,0.06674711142552317,-0.04170663198828122,0.12052667883177225,0.9899210736987198,0.009399171907464492,0.0006717817223562736,7.97267145941536e-06
0.04,1.0732661499464102,0.0028173916583115266,0.02747180662454271,-0.047996573302129725,0.9899170346299605,0.009386304064251595,0.0006882806142245045,8.380691563449896e-06
0.041,0.8103852910320122,0.010440613733618148,0.00147930105980669,-0.018086461441418535,0.9899128976802631,0.009373557155609086,0.0007047465629616096,8.798601166230067e-06
0.042,1.030391422700975,0.05591924641829778,-0.1532595222985612,0.15102823233540283,0.9899086630457445,0.00936093076815973,0.0007211798055156946,9.226380580065603e-06
0.043000000000000003,1.0028090586884848,0.05119843998574584,0.10995407772021401,-0.1412059972231901,0.9899043309211831,0.00934842449057711,0.0007375805779848136,9.664010254998246e-06
0.044,0.8701407572223293,-0.007523178815704967,-0.014790836881008355,0.031806014405598895,0.9898999015000187,0.009336037913585615,0.0007539491156169703,1.0111470778801747e-05
0.045,0.9185328576871988,0.03273442411608127,-0.09337474615894109,0.2387787607221754,0.9898953749743525,0.00932377062996045,0.0007702856528101184,1.0568742876981885e-05
0.046,1.0614578757816338,-0.017547806682052518,-0.14804962325923762,-0.18620905546795985,0.9898907515349475,0.009311622234527627,0.0007865904231121597,1.1035807412776443e-05
0.047,0.7449973111209428,-0.04658291866876636,0.06640787005567195,0.31603798550419276,0.989886031371228,0.009299592324163972,0.0008028636592209462,1.1512645387155216e-05
