t,S_obs,E_obs,I_obs,R_obs,S_true,E_true,I_true,R_true
0.0,1.2394196655669938,-0.038733389549920845,-0.03307805080297591,0.15125291705313143,0.99,0.01,0.0,0.0
0.001,0.8734013158316449,0.030555488927508492,-0.012239069784837782,-0.1716944086061572,0.9899999465827112,0.009982069575523432,1.797844607951344e-05,5.395685864230173e-09
0.002,1.1106689980153646,-0.004741159733391429,0.043422834553657634,0.1366018535732419,0.9899997865010962,0.009964277965126701,3.591396822898738e-05,2.1565548131986657e-08
0.003,1.2204420418195614,0.05019282101427498,-0.039424239956878195,-0.18126255814121622,0.9899995200093442,0.009946624665218257,5.380684152116694e-05,4.848391635775989e-08
0.004,0.8604289571997086,-0.05842673440790629,0.01620566624550273,0.047847788448724206,0.9899991473600607,0.009929109174685197,7.165733997059007e-05,8.612528348522896e-08
0.005,0.9753515972691177,-0.008356449031845521,-0.04114984892441351,-0.14717665164044524,0.9899986688042672,0.009911730994893276,8.946573653358768e-05,1.3446430584726165e-07
0.006,0.989625004184317,0.012400204498613957,-0.046056045264140505,-0.023696276284963548,0.9899980845914016,0.009894489629686894,0.00010723230310828347,1.9347580316591433e-07
0.007,1.0603291430669646,-0.004219542399019975,0.051305943600193735,0.3296676444285696,0.9899973949694396,0.00987738458517906,0.00012495731063528462,2.631347460159331e-07
0.008,1.1002740402955564,-0.0065158378732910055,-0.01607261746206977,0.15130581319380293,0.9899966001858634,0.009860415368083408,0.00014264102989681638,3.434161563042681e-07
0.009000000000000001,1.2149335722737948,0.05605789073931802,0.017210537925401514,-0.24476899848352093,0.989995700485248,0.009843581489873793,0.00016028372952274259,4.3429535551542887e-07
0.01,1.0281861527268383,-0.005964128458725643,0.03497227180291143,0.0001634606172857009,0.9899946961102541,0.009826882465069856,0.0001778856768137024,5.357478622798266e-07
0.011,0.8114673586835415,-0.017981997417166135,0.013421932875004402,-0.06788225358501705,0.9899935873020705,0.009810317810476915,0.00019544713810562032,6.477493469964117e-07
0.012,0.9023977066745382,-0.04917755040124266,-0.045404604433787445,0.012505665497051784,0.9899923743004125,0.009793887045185962,0.00021296837876970626,7.702756318326739e-07
0.013000000000000001,1.0151612228764668,-0.0161843042210999,-0.04397265172072032,0.33323113154978723,0.9899910573435232,0.009777589690573662,0.00023044966321245525,9.033026907246414e-07
0.014,0.8950814155830873,-0.04059736497811831,0.02670980149818045,0.026557136998260115,0.9899896366681726,0.009761425270302356,0.00024789125487564774,1.0468066493768815e-06
0.015,0.7037368902663179,0.023243579124771686,-0.0018524019809525952,-0.11466127021954194,0.9899881125096583,0.009745393310320056,0.0002652934162363495,1.200763785262501e-06
0.016,0.9789702968725926,0.04566273573123756,-0.08304189426870706,-0.026593940323259034,0.989986485101805,0.009729493338860454,0.0002826564088069116,1.365150527623146e-06
0.017,0.9642306125044975,0.06411396706911776,-0.007227322699471126,-0.23035899532931484,0.9899847546769647,0.00971372488644291,0.00029998049313497056,1.5399434574690003e-06
0.018000000000000002,0.9814702980081079,0.05045928138680185,-0.05876581193992393,0.07507491213704764,0.9899829214660165,0.009698087485872465,0.00031726592880344784,1.7251193075787878e-06
0.019,1.0105487678840865,0.02255627559517558,-0.0037041412989068743,0.0002919971272612445,0.9899809856983671,0.009682580672239828,0.0003345129744305506,1.9206549624997714e-06
0.02,1.2046755689996649,0.042730574756177066,0.11071679344312053,-0.06586310342361333,0.9899789476019504,0.009667203982921384,0.0003517218876697712,2.126527458547753e-06
0.021,1.0151323528642289,0.0007280204223098323,-0.005868623700530345,0.15692458217424288,0.9899768074032271,0.009651956957579194,0.0003688929252098872,2.342713983807074e-06
0.022,1.066885999785662,-0.014558504453721427,0.05055660480647263,-0.016043494907512768,0.989974565327186,0.009636839138160996,0.0003860263427749616,2.5691918781306128e-06
0.023,1.049185344469166,0.07033433370381387,-0.06418885680552491,-0.29145258989882333,0.9899722215973423,0.009621850068900192,0.00040312239512434276,2.80593863313979e-06
0.024,0.911297759796253,0.08509682323464349,-0.02370158131074119,-0.24969380859181767,0.9899697764357392,0.009606989296315871,0.00042018133605266415,3.052931892224562e-06
0.025,0.9974413352491598,0.013204928663621194,-0.05817497320241674,-0.009115725479995717,0.9899672300629468,0.009592256369212787,0.00043720341838984463,3.310149450543428e-06
0.026000000000000002,0.8702979662216291,0.04398676461268599,0.0022847319187744115,-0.07323045963026505,0.9899645826980625,0.009577650838681373,0.0004541888940010886,3.577569255023422e-06
0.027,0.8834225756071258,-0.006278413498111427,-0.0548439693754453,-0.04927155125535608,0.989961834558711,0.009563172258097732,0.00047113801378688544,3.855169404360119e-06
0.028,1.2087112872366772,-0.006570407833338784,0.004959282681730325,0.03002632145212745,0.9899589858610444,0.009548820183123648,0.0004880510276830101,4.1429281490176345e-06
0.029,1.221412713196642,0.02262758762695688,-0.06470231357916592,0.09002235935433399,0.9899560368197416,0.009534594171706575,0.0005049281846605226,4.44082389122862e-06
0.03,0.8900496449775872,0.007089163168946658,0.017170949332029003,0.12287315959148451,0.9899529876480097,0.00952049378407964,0.0005217697327257686,4.748835184994272e-06
0.031,1.028357458991191,0.003219932563708312,0.046139512366597815,-0.05344926573541344,0.9899498385575819,0.009506518582761645,0.0005385759189203787,5.066940736084317e-06
0.032,0.9531416608582246,-0.010785732680713245,0.07532143663132175,0.1492417111646988,0.9899465897587196,0.009492668132557069,0.0005553469893212692,5.395119402037028e-06
0.033,0.8414393314142197,0.008421376667427781,0.1090661010489354,0.05325288703737639,0.9899432414603861,0.00947894200024716,0.0005720831891929757,5.7333501737555775e-06
0.034,0.8709395422122477,-0.027751664038917594,0.12484323909791079,-0.1645177943057821,0.9899397938706636,0.009465339753844655,0.0005887847633610071,6.081612130827769e-06
0.035,1.1137257542797168,-0.0045531970399423395,0.037245677418628886,-0.015277365836643141,0.9899362471951937,0.009451860965342961,0.0006054519548582174,6.4398846051595335e-06
0.036000000000000004,1.1729939047930817,-0.00020585774899831329,0.0003980607248758157,-0.11467164903422021,0.9899326016381245,0.009438505209059981,0.0006220850057330159,6.808147082668512e-06
0.037,0.955653985587332,0.06118327738215564,0.13699312970159677,0.18797575100197958,0.9899288574022649,0.009425272061364424,0.0006386841571837612,7.186379187004358e-06
0.038,0.8529795640408133,0.03112700471539978,-0.05518823102352268,0.10068709648125031,0.989925014689086,0.009412161100675817,0.0006552496495587614,7.5745606795487465e-06
0.039,0.8926835707619303,-0.020686024205516462,0.11823947160559803,-0.22420494921188902,0.9899210736987198,0.009399171907464492,0.0006717817223562736,7.97267145941536e-06
0.04,1.0317560425943142,0.020156853126250058,-0.044187430789721635,-0.10114187115667972,0.9899170346299605,0.009386304064251595,0.0006882806142245045,8.380691563449896e-06
0.041,0.955774374778729,-0.020025454555208873,-0.06808118399849757,0.027424160954048347,0.9899128976802631,0.009373557155609086,0.0007047465629616096,8.798601166230067e-06
0.042,1.04364155775655,-0.03315413258022602,0.06749376114658158,0.10965218772234907,0.9899086630457445,0.00936093076815973,0.0007211798055156946,9.226380580065603e-06
0.043000000000000003,1.2365347408554532,0.0990740227974597,-0.023100621196193657,-0.05660743935485968,0.9899043309211831,0.00934842449057711,0.0007375805779848136,9.664010254998246e-06
0.044,0.8805936966312291,-0.006195653546821996,-0.08623571653207035,-0.1697483588107416,0.9898999015000187,0.009336037913585615,0.0007539491156169703,1.0111470778801747e-05
0.045,0.8816577030192804,-0.06234303971695189,0.06650669197345804,0.14249123872742037,0.9898953749743525,0.00932377062996045,0.0007702856528101184,1.0568742876981885e-05
0.046,1.0713745446998788,0.008299508142581007,0.11608137812409504,-0.33414564380818923,0.9898907515349475,0.009311622234527627,0.0007865904231121597,1.1035807412776443e-05
0.047,0.7238022263484496,-6.221231575012816e-05,0.07544167353040493,-0.06024409836761839,0.989886031371228,0.009299592324163972,0.0008028636592209462,1.1512645387155216e-05
0.048,1.0746372490572114,-0.012632405323441617,0.014704596099128291,0.07813800028989004,0.9898812146712799,0.009287680497797123,0.000819105592984279,1.1999237938820022e-05
0.049,0.9259270966539663,0.0224257831131445,0.018270373719125887,-0.11781878044743307,0.9898763016218505,0.009275886356405525,0.0008353164553999083,1.2495566344204687e-05
0.05,1.1193499847232873,-0.0037077397142631207,0.06696340738377822,-0.05393356675636647,0.9898712924083486,0.009264209503018438,0.0008514964766155339,1.3001612017475056e-05
0.051000000000000004,1.1848928472204214,-0.003370197094068439,-0.01867423909876937,0.047145700582231616,0.9898661872148448,0.009252649542715935,0.0008676458859288048,1.3517356510528983e-05
0.052000000000000005,0.5778523097464934,0.03264673196538813,0.04723408872555077,-0.11278458857624332,0.9898609862240708,0.009241206082628895,0.0008837649117873192,1.4042781512996341e-05
0.053,1.093251581753877,-0.020042254953438466,0.016660142083052422,-0.1740637510369248,0.9898556896174202,0.009229878731939013,0.0008998537817886248,1.4577868852239012e-05
0.054,0.7707100811254424,0.005720973076818176,0.06087347700920617,-0.04328936341455277,0.9898502975749477,0.009218667101878792,0.0009159127226802184,1.5122600493350904e-05
0.055,1.2166387825954526,0.10612827061824437,-0.03045880694517713,-0.15998558122577683,0.9898448102753699,0.00920757080573155,0.0009319419603595464,1.5676958539157926e-05
0.056,1.0369941167274606,-0.030526150368529018,-0.09806660506061134,0.014028550366810397,0.9898392278960645,0.009196589458831412,0.0009479417198740043,1.624092523021801e-05
0.057,0.9963214930369595,0.03446139513969402,0.08366890858405512,-0.03036948304248273,0.989833550613071,0.009185722678563315,0.0009639122254209366,1.6814482944821092e-05
0.058,0.958809933110679,-0.03586302023568756,-0.003105942902356299,-0.1485386104559357,0.9898277786010904,0.009174970084363014,0.000979853700347638,1.739761419898914e-05
