t,S_obs,E_obs,I_obs,R_obs,S_true,E_true,I_true,R_true
0.0,1.0793014687809452,0.00968425567806108,0.041959071332668525,-0.11518792290180133,0.99,0.01,0.0,0.0
0.001,1.0695940547824614,0.02752874138450557,0.006566500050583146,-0.04807107154418067,0.9899999465827112,0.009982069575523432,1.797844607951344e-05,5.395685864230173e-09
0.002,0.9450167237980605,0.03604853946603633,0.028583169566495155,0.003371568832482922,0.9899997865010962,0.009964277965126701,3.591396822898738e-05,2.1565548131986657e-08
0.003,0.9610829275656975,0.027510819928795317,-0.003131156466360683,0.016294732657403735,0.9899995200093442,0.009946624665218257,5.380684152116694e-05,4.848391635775989e-08
0.004,1.0049162901973858,0.0006457249157564484,0.013850115913888185,0.01897572490581278,0.9899991473600607,0.009929109174685197,7.165733997059007e-05,8.612528348522896e-08
0.005,0.9715076801079622,0.004356346345801593,0.0038633503256114633,0.053903607873890216,0.9899986688042672,0.009911730994893276,8.946573653358768e-05,1.3446430584726165e-07
0.006,0.9952482678049385,-0.007356837995147565,0.047300514343554485,-0.06588319825983696,0.9899980845914016,0.009894489629686894,0.00010723230310828347,1.9347580316591433e-07
0.007,1.024019640285645,-0.017282797624073663,-0.006608650033791366,-0.02410200252305857,0.9899973949694396,0.00987738458517906,0.00012495731063528462,2.631347460159331e-07
0.008,0.987346427005486,0.008668556129453902,-0.026695446658167483,0.012203869002574922,0.9899966001858634,0.009860415368083408,0.00014264102989681638,3.434161563042681e-07
0.009000000000000001,0.9808665857360698,0.026414294045603234,0.010712039095439932,0.03965265460938971,0.989995700485248,0.009843581489873793,0.00016028372952274259,4.3429535551542887e-07
0.01,0.9889557515301874,0.017126007975129406,0.034844429607609646,0.02259018772731239,0.9899946961102541,0.009826882465069856,0.0001778856768137024,5.357478622798266e-07
0.011,1.0476350901726263,-0.010901375518494386,-0.007822684333552148,0.03503154431623846,0.9899935873020705,0.009810317810476915,0.00019544713810562032,6.477493469964117e-07
0.012,1.0109034347770933,0.005368135117848283,0.026462711109291034,0.04010627916262824,0.9899923743004125,0.009793887045185962,0.00021296837876970626,7.702756318326739e-07
0.013000000000000001,1.0112114394189482,0.000928007516858417,0.017885215675118072,-0.03219838036904209,0.9899910573435232,0.009777589690573662,0.00023044966321245525,9.033026907246414e-07
0.014,0.9626382121317044,0.007098727822650404,0.031078826733839125,-0.002643778018634466,0.9899896366681726,0.009761425270302356,0.00024789125487564774,1.0468066493768815e-06
0.015,0.9886058290322901,0.02285237105626866,0.008266479949750239,-0.007804801891986937,0.9899881125096583,0.009745393310320056,0.0002652934162363495,1.200763785262501e-06
0.016,0.9127418868305053,0.013500155905739768,0.035298526221476334,-0.12286775712739649,0.989986485101805,0.009729493338860454,0.0002826564088069116,1.365150527623146e-06
0.017,0.9420547013881333,0.00854777630606958,0.015163557949400141,0.046619367737353014,0.9899847546769647,0.00971372488644291,0.00029998049313497056,1.5399434574690003e-06
0.018000000000000002,0.9962721044443329,0.013034965889268392,-0.007936201359172551,-0.03364278797436397,0.9899829214660165,0.009698087485872465,0.00031726592880344784,1.7251193075787878e-06
0.019,0.9951212352299884,0.0036961548840913523,-0.004855115465103663,0.06316330614685776,0.9899809856983671,0.009682580672239828,0.0003345129744305506,1.9206549624997714e-06
0.02,1.0473735626152025,-0.0028778006572732443,0.046534682121168236,-0.07005654848037193,0.9899789476019504,0.009667203982921384,0.0003517218876697712,2.126527458547753e-06
0.021,0.9662079167086126,-0.0012619426743229571,-0.035130039019878025,0.010315202229490514,0.9899768074032271,0.009651956957579194,0.0003688929252098872,2.342713983807074e-06
0.022,0.9888026997519453,0.013436275876590362,-0.0005279177535069519,-0.044546898951309234,0.989974565327186,0.009636839138160996,0.0003860263427749616,2.5691918781306128e-06
0.023,0.9626610802135481,-0.0024708189487357094,-0.0037162646675144902,-0.11490642271285821,0.9899722215973423,0.009621850068900192,0.00040312239512434276,2.80593863313979e-06
0.024,0.9779184084943946,0.03438878923214954,0.015533072558987377,-0.020233537483380297,0.9899697764357392,0.009606989296315871,0.00042018133605266415,3.052931892224562e-06
0.025,0.8822329521655073,0.02416108063689501,-0.016412757439102938,-0.011993234223022162,0.9899672300629468,0.009592256369212787,0.00043720341838984463,3.310149450543428e-06
0.026000000000000002,0.9863382728396172,-0.0043794046827095885,0.019775102820427146,-0.036413985324080085,0.9899645826980625,0.009577650838681373,0.0004541888940010886,3.577569255023422e-06
0.027,0.9759474011347147,0.05666160431380855,-0.025208257504838284,0.023505036514806753,0.989961834558711,0.009563172258097732,0.00047113801378688544,3.855169404360119e-06
0.028,0.990950806866699,0.018362795446968692,0.02883138788808931,0.10207254823045665,0.9899589858610444,0.009548820183123648,0.0004880510276830101,4.1429281490176345e-06
0.029,0.9765792615819783,-0.0042245078923202565,0.0054931143507258254,0.05619317312133355,0.9899560368197416,0.009534594171706575,0.0005049281846605226,4.44082389122862e-06
0.03,0.9714512256421481,0.008372208894519374,0.025068783059681996,-0.06103028763712658,0.9899529876480097,0.00952049378407964,0.0005217697327257686,4.748835184994272e-06
0.031,1.0568349028973356,0.010007272157787076,-0.0014818548072787778,-0.03875392842178019,0.9899498385575819,0.009506518582761645,0.0005385759189203787,5.066940736084317e-06
0.032,0.9673966188997138,-0.0025462069309953473,-0.0010309051041016521,-0.046677365383402294,0.9899465897587196,0.009492668132557069,0.0005553469893212692,5.395119402037028e-06
0.033,0.9940927855957639,0.018408940934250512,-0.0019203543684916074,-0.04003951536078588,0.9899432414603861,0.00947894200024716,0.0005720831891929757,5.7333501737555775e-06
0.034,1.0019587422984217,-0.005734754416700686,0.017402217286077073,0.01111108560786801,0.9899397938706636,0.009465339753844655,0.0005887847633610071,6.081612130827769e-06
0.035,0.8899951877759571,-0.015939201776166225,-0.029284108640667814,0.14598604555543668,0.9899362471951937,0.009451860965342961,0.0006054519548582174,6.4398846051595335e-06
0.036000000000000004,1.0179880038909332,0.021716654118874266,-0.002458460077955976,0.06454149957243743,0.9899326016381245,0.009438505209059981,0.0006220850057330159,6.808147082668512e-06
0.037,0.9861093719509575,0.01377847559151461,0.007439455854795732,0.022486061511169577,0.9899288574022649,0.009425272061364424,0.0006386841571837612,7.186379187004358e-06
0.038,1.0712973210103602,-0.023577826205780125,0.006288177534375526,0.05284826756128574,0.989925014689086,0.009412161100675817,0.0006552496495587614,7.5745606795487465e-06
0.039,0.9738574865933001,-0.0111237610994273,-0.006496085020780204,0.10372376877998897,0.9899210736987198,0.009399171907464492,0.0006717817223562736,7.97267145941536e-06
0.04,0.946837657667377,0.014915131680561886,-0.015072779398960689,0.004553280909049984,0.9899170346299605,0.009386304064251595,0.0006882806142245045,8.380691563449896e-06
0.041,0.960700413690741,0.021268197109146868,-0.012919287874491935,-0.0052477109236677005,0.9899128976802631,0.009373557155609086,0.0007047465629616096,8.798601166230067e-06
0.042,0.9911319399571054,0.0204498650235146,0.02104687014839695,-0.09264400281111661,0.9899086630457445,0.00936093076815973,0.0007211798055156946,9.226380580065603e-06
0.043000000000000003,0.9422942741183877,0.029840054100318883,0.02863342519009895,-0.08866524954443016,0.9899043309211831,0.00934842449057711,0.0007375805779848136,9.664010254998246e-06
0.044,0.93584962703698,0.02604548002374033,0.015159307417233588,0.016797688783525066,0.9898999015000187,0.009336037913585615,0.0007539491156169703,1.0111470778801747e-05
0.045,1.0987980532811787,-0.014468088726763913,0.039565405654953895,0.012581134547777898,0.9898953749743525,0.00932377062996045,0.0007702856528101184,1.0568742876981885e-05
0.046,1.0422400803785439,0.0076739871022349585,0.03777178779286063,-0.03674502424389236,0.9898907515349475,0.009311622234527627,0.0007865904231121597,1.1035807412776443e-05
0.047,1.0196674564069093,0.0054355500606575215,-0.004470290820537385,-0.014972171508623674,0.989886031371228,0.009299592324163972,0.0008028636592209462,1.1512645387155216e-05
0.048,0.9927027945733533,0.022615711771924105,0.025969290872096696,0.0856029997027962,0.9898812146712799,0.009287680497797123,0.000819105592984279,1.1999237938820022e-05
0.049,0.8985830961971003,0.005781014374674811,-0.0433123334317533,-0.0037487972163205967,0.9898763016218505,0.009275886356405525,0.0008353164553999083,1.2495566344204687e-05
0.05,0.9344046169620484,0.016541744504115455,-0.03474014870219416,-0.09596966078248981,0.9898712924083486,0.009264209503018438,0.0008514964766155339,1.3001612017475056e-05
0.051000000000000004,1.0290567937851596,0.007245582089007045,0.03326591365745865,-0.0414307382667584,0.9898661872148448,0.009252649542715935,0.0008676458859288048,1.3517356510528983e-05
0.052000000000000005,0.9986808912916134,0.01557533300689367,0.005821119856683293,0.019356970483057453,0.9898609862240708,0.009241206082628895,0.0008837649117873192,1.4042781512996341e-05
0.053,0.9333739995652053,0.010928119581645204,-0.010136573664679877,0.0008549589001053825,0.9898556896174202,0.009229878731939013,0.0008998537817886248,1.4577868852239012e-05
0.054,1.0144924690487314,0.007321207442981441,0.0035881434121080424,-0.015178011897129936,0.9898502975749477,0.009218667101878792,0.0009159127226802184,1.5122600493350904e-05
0.055,1.0068622839251462,0.005652898367112586,-0.007404895830732083,0.049879145023354755,0.9898448102753699,0.00920757080573155,0.0009319419603595464,1.5676958539157926e-05
0.056,0.967139649917408,-0.026789937016919712,-0.034783443166849996,-0.042069574647847524,0.9898392278960645,0.009196589458831412,0.0009479417198740043,1.624092523021801e-05
0.057,0.9766662344883764,0.020564026729391602,0.0009502101794215829,0.0036533520940319527,0.989833550613071,0.009185722678563315,0.0009639122254209366,1.6814482944821092e-05
