t,S_obs,E_obs,I_obs,R_obs,S_true,E_true,I_true,R_true
0.0,0.9902914762488848,0.006976124473852591,0.021908786132713028,-0.0038711926370471705,0.99,0.01,0.0,0.0
0.001,0.9462725468289408,-0.013663742323922068,-0.009583086689564278,0.010157713271344829,0.9899999465827112,0.009982069575523432,1.797844607951344e-05,5.395685864230173e-09
0.002,1.0059409987807835,-0.0008486338562494911,-0.003883874982054236,0.002043090214981897,0.9899997865010962,0.009964277965126701,3.591396822898738e-05,2.1565548131986657e-08
0.003,0.9954870832537384,0.0063181457586091025,0.030536118015772096,-0.13266945497632948,0.9899995200093442,0.009946624665218257,5.380684152116694e-05,4.848391635775989e-08
0.004,0.9377110637472722,0.03348694990137842,-0.008790581716476984,0.06907315071870407,0.9899991473600607,0.009929109174685197,7.165733997059007e-05,8.612528348522896e-08
0.005,1.0115312979551447,0.033817587305601346,-0.011847055592003547,0.06361444537930945,0.9899986688042672,0.009911730994893276,8.946573653358768e-05,1.3446430584726165e-07
0.006,0.9454766679093533,0.01690023814530702,0.011499865222206574,-0.009196563764099245,0.9899980845914016,0.009894489629686894,0.00010723230310828347,1.9347580316591433e-07
0.007,0.8938290335569948,-0.015837444117906982,-0.004002575693786627,-0.05186810376372207,0.9899973949694396,0.00987738458517906,0.00012495731063528462,2.631347460159331e-07
0.008,0.9810123426187708,0.019175927096263444,0.024502851165130117,0.03148321194397092,0.9899966001858634,0.009860415368083408,0.00014264102989681638,3.434161563042681e-07
0.009000000000000001,0.9842401148939193,-0.00409366685184882,-0.011902679407131057,-0.005657686534070447,0.989995700485248,0.009843581489873793,0.00016028372952274259,4.3429535551542887e-07
0.01,0.908079649567213,-0.010773767604166082,0.036138285818741504,-0.009411172729905187,0.9899946961102541,0.009826882465069856,0.0001778856768137024,5.357478622798266e-07
0.011,0.9781173926443304,0.02516458345087232,-0.006009004602871413,-0.04861651736267993,0.9899935873020705,0.009810317810476915,0.00019544713810562032,6.477493469964117e-07
0.012,0.9649385997435825,0.0225376953687035,0.003850068533353362,-0.04204255965499001,0.9899923743004125,0.009793887045185962,0.00021296837876970626,7.702756318326739e-07
0.013000000000000001,1.0267163396379526,0.01730696002327435,0.01422906147245775,0.01717099457634524,0.9899910573435232,0.009777589690573662,0.00023044966321245525,9.033026907246414e-07
0.014,0.9644290203888397,0.01862922374751397,-0.04564487553165818,-0.008987177490638088,0.9899896366681726,0.009761425270302356,0.00024789125487564774,1.0468066493768815e-06
0.015,0.9751738691900432,-0.004234369849849921,-0.01536704865272724,-0.01735532943534042,0.9899881125096583,0.009745393310320056,0.0002652934162363495,1.200763785262501e-06
0.016,1.026233084261243,0.011572515727881353,0.014437273764753912,0.06931307099551727,0.989986485101805,0.009729493338860454,0.0002826564088069116,1.365150527623146e-06
0.017,0.9772331299040733,0.022448125417101207,0.018128014995069285,0.021601031449299826,0.9899847546769647,0.00971372488644291,0.00029998049313497056,1.5399434574690003e-06
0.018000000000000002,0.996134348193075,0.006867238655752184,-0.04411884028900437,0.010420676268146785,0.9899829214660165,0.009698087485872465,0.00031726592880344784,1.7251193075787878e-06
0.019,1.0288628467047953,0.0009358467459461128,-0.014312784581344658,0.013508843282954106,0.9899809856983671,0.009682580672239828,0.0003345129744305506,1.9206549624997714e-06
0.02,1.0132030475669644,0.012648800088696711,0.0037738841853513653,-0.01036100798074386,0.9899789476019504,0.009667203982921384,0.0003517218876697712,2.126527458547753e-06
0.021,1.0402416776224872,-0.027715576134256244,-0.004397641018969456,0.005262579536304763,0.9899768074032271,0.009651956957579194,0.0003688929252098872,2.342713983807074e-06
0.022,0.9749591816400043,0.009381185518621299,-0.008840601933837731,0.03954812009554788,0.989974565327186,0.009636839138160996,0.0003860263427749616,2.5691918781306128e-06
0.023,0.9687909623470511,0.01562972869910815,-0.028720558379964106,0.0021091225280352012,0.9899722215973423,0.009621850068900192,0.00040312239512434276,2.80593863313979e-06
0.024,1.0390580206852151,-0.006372865786922605,-0.017930681965789265,0.09610355370559569,0.9899697764357392,0.009606989296315871,0.00042018133605266415,3.052931892224562e-06
0.025,1.1297722042424705,0.01502631808389014,0.008168927775454199,0.03614954194567451,0.9899672300629468,0.009592256369212787,0.00043720341838984463,3.310149450543428e-06
0.026000000000000002,1.02574939331926,0.031252652928765806,-0.008800497912788275,-0.004307440390469062,0.9899645826980625,0.009577650838681373,0.0004541888940010886,3.577569255023422e-06
0.027,1.0021290228362558,0.0009975679378965829,0.008023135537698456,-0.02700536928827736,0.989961834558711,0.009563172258097732,0.00047113801378688544,3.855169404360119e-06
0.028,1.0089123292372753,0.001895543747481348,-0.04623144740758382,0.04948988757388194,0.9899589858610444,0.009548820183123648,0.0004880510276830101,4.1429281490176345e-06
0.029,1.0418935686587312,0.0025650683142170493,-0.013283792255624472,-0.010869683645793205,0.9899560368197416,0.009534594171706575,0.0005049281846605226,4.44082389122862e-06
0.03,1.0322651101788947,-0.0029641255735383242,-0.0034441635869560537,0.019635933871903058,0.9899529876480097,0.00952049378407964,0.0005217697327257686,4.748835184994272e-06
0.031,1.0641098116194905,0.007981028582803116,0.006322520209719114,-0.033957803150714866,0.9899498385575819,0.009506518582761645,0.0005385759189203787,5.066940736084317e-06
0.032,0.9430595622448881,0.004914884202455662,0.007228487835659265,-0.041753628691221706,0.9899465897587196,0.009492668132557069,0.0005553469893212692,5.395119402037028e-06
0.033,0.9775204285687493,0.004525319814772467,-0.03966056717281398,0.02265181503305388,0.9899432414603861,0.00947894200024716,0.0005720831891929757,5.7333501737555775e-06
0.034,0.9684271771443196,0.011564966697574813,0.025056041454061578,-0.01939993662484836,0.9899397938706636,0.009465339753844655,0.0005887847633610071,6.081612130827769e-06
0.035,0.9323367464741614,0.031393598474046075,-0.002291475962177646,-0.01526724336081757,0.9899362471951937,0.009451860965342961,0.0006054519548582174,6.4398846051595335e-06
0.036000000000000004,1.1089140978001757,0.017978032408496904,0.003967718934937126,0.01178944026355307,0.9899326016381245,0.009438505209059981,0.0006220850057330159,6.808147082668512e-06
0.037,0.9211362960043501,-0.01794877714806848,-0.02369388747353406,-0.1211294212087605,0.9899288574022649,0.009425272061364424,0.0006386841571837612,7.186379187004358e-06
0.038,0.9840911187992636,0.0011890649446345946,0.05177662124917307,-0.02118985296731546,0.989925014689086,0.009412161100675817,0.0006552496495587614,7.5745606795487465e-06
0.039,1.0416696973023603,0.021220376176159635,0.002224507763649581,-0.011398555263460921,0.9899210736987198,0.009399171907464492,0.0006717817223562736,7.97267145941536e-06
0.04,1.0108105156684175,-0.013426673234465603,0.01917994387769377,0.02457987520724458,0.9899170346299605,0.009386304064251595,0.0006882806142245045,8.380691563449896e-06
0.041,0.9590054463653054,0.008274237564231533,-0.0289612254264023,-0.008771785074746042,0.9899128976802631,0.009373557155609086,0.0007047465629616096,8.798601166230067e-06
0.042,0.9281065800269301,-0.0054968728438099124,-0.009568910870120165,0.03350700570471589,0.9899086630457445,0.00936093076815973,0.0007211798055156946,9.226380580065603e-06
0.043000000000000003,1.027873119149622,0.022034013012431998,0.0033451419207966436,0.015187032976464886,0.9899043309211831,0.00934842449057711,0.0007375805779848136,9.664010254998246e-06
0.044,0.9301715311538256,0.00884235794591209,-0.02801229376224541,-0.07579299503717528,0.9898999015000187,0.009336037913585615,0.0007539491156169703,1.0111470778801747e-05
0.045,0.9826738078850425,0.027352805142417176,0.010079681834858592,0.1512524671427585,0.9898953749743525,0.00932377062996045,0.0007702856528101184,1.0568742876981885e-05
0.046,0.9229327471160944,-0.005438782863621042,0.013315796465857371,0.08063976977049078,0.9898907515349475,0.009311622234527627,0.0007865904231121597,1.1035807412776443e-05
0.047,0.9927776849019092,0.0009939002084224605,0.035680497343100415,0.04387243822314204,0.989886031371228,0.009299592324163972,0.0008028636592209462,1.1512645387155216e-05
0.048,0.9422810983742077,0.0017302688647356894,-0.007520106523226423,-0.06545866785187976,0.9898812146712799,0.009287680497797123,0.000819105592984279,1.1999237938820022e-05
0.049,0.8992600960832032,0.01200905565875707,0.0005162806915493674,-0.013735298506146241,0.9898763016218505,0.009275886356405525,0.0008353164553999083,1.2495566344204687e-05
0.05,1.0084897440074427,0.011650528097110643,-0.03309139816109829,-0.00183718931271322,0.9898712924083486,0.009264209503018438,0.0008514964766155339,1.3001612017475056e-05
0.051000000000000004,0.9861658402792602,-0.02772300216325769,-0.017440592295636884,0.047712762906738954,0.9898661872148448,0.009252649542715935,0.0008676458859288048,1.3517356510528983e-05
0.052000000000000005,0.8947517387072914,0.004014787067872948,0.01724307025407408,0.02691982817850969,0.9898609862240708,0.009241206082628895,0.0008837649117873192,1.4042781512996341e-05
0.053,0.9728299453220356,0.037312285104759854,-0.02994212489972173,0.0794291606141044,0.9898556896174202,0.009229878731939013,0.0008998537817886248,1.4577868852239012e-05
0.054,1.0072758330272604,-0.009840355193681065,-0.021791883281931226,0.030317069715327483,0.9898502975749477,0.009218667101878792,0.0009159127226802184,1.5122600493350904e-05
0.055,1.0788830329557189,0.016280752897023153,0.002478440416640653,0.01570508469766797,0.9898448102753699,0.00920757080573155,0.0009319419603595464,1.5676958539157926e-05
0.056,0.9898065547403572,0.013912315193195201,0.030283587128274204,0.10148637351705288,0.9898392278960645,0.009196589458831412,0.0009479417198740043,1.624092523021801e-05
0.057,0.955245866244009,0.014283108076394723,0.006925719269826665,0.009837165574971623,0.989833550613071,0.009185722678563315,0.0009639122254209366,1.6814482944821092e-05
0.058,0.9966611929211421,0.0024438169174020013,0.007280165882445419,0.015167023117090813,0.9898277786010904,0.009174970084363014,0.000979853700347638,1.739761419898914e-05
0.059000000000000004,1.0873889127999155,0.012196508129866907,0.005028192201723162,-0.0028024304162014057,0.9898219120338007,0.009164331297157696,0.0009957663674281378,1.7990301613643043e-05
0.06,0.9668539319358189,0.02613168339520295,0.03811240111395455,0.0014765044870872154,0.9898159510838637,0.009153805939341921,0.0010116504488814721,1.8592527913056207e-05
0.061,1.0294837399253394,0.001658474913858724,-0.011356092145847062,-0.03076091312615896,0.9898098959217002,0.009143393636952605,0.001027506165294771,1.920427605248071e-05
0.062,0.971910756131945,-0.012500706532049865,0.03986848009423893,0.00597729759705551,0.9898037467164639,0.00913309401795274,0.0010433337364660292,1.9825529117511857e-05
0.063,0.9606439622096549,0.02607423805976329,0.04635242371796817,-0.012809628767052331,0.9897975036360902,0.009122906712143554,0.0010591333814474074,2.0456270318935363e-05
0.064,0.9359479356009983,0.007980098287897103,0.02119080995011304,0.010498916268277493,0.9897911668472976,0.009112831351164523,0.0010749053185452316,2.1096482992727372e-05
0.065,0.9859667372094435,0.004311452630890486,0.0012881364508657285,0.0694352521365568,0.9897847365155867,0.009102867568493357,0.0010906497653199933,2.174615060005444e-05
0.066,1.0021841070203703,0.0049050941979349155,-0.004950261762869125,-0.0030680174591479967,0.9897782128052405,0.00909301499944601,0.001106366938586349,2.2405256727273527e-05
0.067,0.9502315806918481,0.014808758534996355,-0.0600559346924724,-0.04200411922226858,0.9897715958793244,0.009083273281176675,0.0011220570544131208,2.3073785085932043e-05
0.068,1.0207496588710472,0.010286112321685298,0.024607121672151847,0.08343847683230413,0.9897648858996863,0.009073642052677784,0.0011377203281232966,2.3751719512767783e-05
0.069,0.98497347744241,-0.009163443202080618,0.0362563515797451,0.06031956553579458,0.9897580830269563,0.009064120954780012,0.001153356974294029,2.443904396970897e-05
0.07,0.9704473740897702,0.010518413932904445,0.023314430871590977,-0.02485616839404536,0.9897511874205474,0.009054709630152272,0.0011689672067566365,2.5135742543874264e-05
0.07100000000000001,1.0668421108357242,0.020879657300163064,0.013339503691350767,0.13842268399358218,0.9897441992386542,0.009045407723301719,0.0011845512385966024,2.5841799447572715e-05
0.07200000000000001,0.9018882184392913,0.020091028856097103,0.008212027460155404,-0.06309677760526138,0.9897371186382545,0.009036214880573748,0.0012001092821535759,2.65571990183038e-05
0.073,1.0483157686988984,0.002849506003395852,0.001893687023809984,0.00014332115550801366,0.989729945775108,0.009027130750151992,0.001215641549021371,2.728192571875741e-05
0.074,0.8667620186865005,0.014959379693065426,0.013185644149972971,0.00965169265834792,0.989722680803757,0.009018154982058327,0.0012311482500479685,2.801596413681388e-05
0.075,1.0142043499946662,0.02104279062798632,0.012079043874501006,-0.05482178665070378,0.9897153238775261,0.00900928722815287,0.0012466295953355126,2.8759298985543924e-05
0.076,1.0196431764613436,4.059320307079825e-05,0.02430779910080946,0.039100866884215504,0.9897078751485227,0.009000527142133976,0.0012620857942403144,2.9511915103208693e-05
0.077,1.0040955197920756,0.012098576422746681,0.023829305061305747,0.011105638165086293,0.9897003347676357,0.00899187437953824,0.0012775170553728497,3.0273797453259758e-05
0.078,0.9622587845425368,-0.0198206445181702,-0.04231301944662534,-0.13140860187728898,0.9896927028845375,0.008983328597740498,0.0012929235865977596,3.10449311243391e-05
0.079,0.9501418819456506,0.0032587197557577266,0.017423536586734477,0.05054705369451332,0.9896849796476822,0.008974889455953828,0.0013083055950338508,3.182530133027912e-05
